User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000861,P003881,M,46-50,8,B,2,0,19,2.0,,8622
1003773,P001857,M,0-17,5,B,3,1,1,5.0,3.0,8101
1003093,P002268,M,46-50,20,C,4+,0,5,8.0,,15981
1000467,P003865,M,55+,16,B,0,0,6,,,10337
1004427,P004597,M,55+,7,C,0,1,1,,4.0,12674
1003445,P002017,M,18-25,2,C,3,0,17,8.0,,11246
1003172,P003575,M,36-45,11,C,0,0,12,2.0,,11160
1002920,P001949,M,0-17,12,C,1,1,4,2.0,,17566
1000131,P001426,F,36-45,17,C,2,0,4,16.0,,9113
1001686,P003089,M,0-17,10,A,4+,1,10,8.0,,9195
1000770,P001464,M,51-55,1,A,4+,1,8,,,11568
1002392,P002645,F,18-25,13,A,1,1,12,2.0,,5958
1002434,P001277,M,18-25,0,A,3,0,12,14.0,,8056
1001185,P003883,M,51-55,14,A,2,0,3,,,13986
1004556,P001018,F,0-17,17,B,0,1,16,,3.0,12262
1003386,P001065,F,26-35,17,A,4+,1,4,,,10335
1004118,P001166,M,0-17,16,B,4+,0,5,,,10412
1004844,P002608,M,18-25,0,C,3,0,15,,,8645
1002905,P004067,M,55+,13,C,2,1,8,5.0,,14222
1000475,P001402,M,36-45,19,C,0,1,10,,,16741
1001083,P004983,M,46-50,15,A,4+,1,1,2.0,,6000
1002559,P004893,M,36-45,3,B,4+,1,10,,,13039
1002048,P001408,M,18-25,5,B,0,0,18,14.0,,7626
1002748,P003159,M,36-45,15,B,2,0,17,,,10916
1000976,P004345,M,26-35,19,B,2,0,4,14.0,,17414
1001807,P004478,M,26-35,5,A,2,1,13,,,15272
1000190,P004444,M,55+,14,A,4+,1,6,,,12427
1002735,P001596,M,0-17,0,C,1,1,1,8.0,3.0,5055
1003006,P003698,M,36-45,6,C,4+,0,1,2.0,,13147
1004659,P002062,M,36-45,10,B,3,1,3,,17.0,11449
1001900,P003152,M,18-25,0,A,3,1,5,5.0,3.0,9933
1001268,P001323,M,0-17,7,B,4+,1,18,,,9801
1001529,P004864,M,0-17,13,A,4+,1,12,,17.0,8619
1003203,P002982,M,36-45,4,C,0,0,1,,,7837
1003557,P004039,M,46-50,12,C,2,1,9,2.0,15.0,13495
1003891,P002437,M,36-45,14,A,0,0,17,2.0,,12421
1000647,P001428,M,36-45,8,A,3,0,13,2.0,,12388
1002889,P003682,M,36-45,7,B,3,1,14,,15.0,15963
1002436,P003777,M,26-35,18,A,1,0,11,8.0,,7853
1000601,P003936,M,51-55,16,C,2,1,11,,17.0,5940
1002364,P002084,M,0-17,18,C,2,0,4,16.0,17.0,13155
1002062,P002635,F,51-55,17,A,3,0,9,,3.0,6655
1000242,P004378,M,26-35,17,A,0,0,18,14.0,,11318
1002042,P002377,M,46-50,3,C,4+,0,19,,9.0,12090
1002825,P001392,F,18-25,1,B,2,1,4,5.0,3.0,9163
1002613,P003251,F,55+,4,B,4+,0,12,,,4743
1001364,P003305,M,46-50,16,A,3,1,18,8.0,,12605
1001479,P003533,M,0-17,6,A,1,0,18,2.0,9.0,18198
1002557,P002540,M,18-25,15,B,3,1,6,2.0,3.0,10163
1000776,P001445,M,51-55,0,B,4+,0,11,8.0,,12496
1004015,P004780,M,46-50,11,A,3,0,5,,,13664
1000035,P002203,M,0-17,18,A,2,1,16,,15.0,16429
1003153,P002023,M,55+,8,B,4+,1,11,14.0,,15661
1001956,P001341,M,55+,15,C,4+,0,5,8.0,,9538
1001586,P001132,M,46-50,6,A,1,1,9,16.0,,13239
1003944,P003490,F,18-25,14,C,2,0,11,,,15791
1003074,P002859,F,18-25,11,A,0,1,15,,,10135
1001022,P003300,M,46-50,3,B,1,0,17,,,17321
1003462,P001264,M,26-35,5,C,2,0,18,5.0,,11494
1002614,P001092,M,46-50,5,B,0,1,14,,3.0,12633
1003844,P002685,M,51-55,14,A,4+,1,7,,,17829
1001501,P002434,F,46-50,2,A,1,0,16,,,8341
1004799,P003185,F,46-50,1,A,4+,0,9,16.0,,3691
1000162,P002231,M,26-35,4,C,4+,1,3,2.0,9.0,12407
1004298,P002001,M,36-45,7,A,4+,0,16,,,15478
1001982,P002660,M,18-25,18,A,2,1,7,2.0,4.0,10144
1000996,P004817,M,51-55,20,A,0,1,7,,,10581
1004912,P002596,M,0-17,15,B,2,1,1,,,12614
1003343,P003354,M,18-25,18,C,4+,1,8,5.0,,9645
1004552,P001265,M,18-25,15,A,1,0,1,8.0,3.0,9037
1003799,P001645,M,36-45,5,B,4+,1,12,2.0,,14558
1001276,P003365,M,18-25,0,A,0,1,17,,,15583
1001017,P002136,F,18-25,17,B,2,0,10,,3.0,10482
1000338,P003948,M,26-35,7,A,0,0,19,2.0,,10675
1000879,P002401,M,26-35,4,A,2,1,9,2.0,,13983
1001077,P001453,M,26-35,11,B,0,0,10,14.0,9.0,12610
1004888,P003238,M,26-35,17,C,0,0,11,,,9075
1003994,P002914,M,26-35,4,C,2,1,10,5.0,3.0,8950
1004860,P002463,M,51-55,12,B,2,0,17,,,11435
1000380,P002210,F,0-17,20,A,2,1,7,2.0,15.0,14204
1000493,P001830,M,36-45,11,A,3,0,5,,,7966
1002063,P002390,M,46-50,15,B,0,0,12,,,17769
1003885,P002112,M,55+,13,C,3,0,5,14.0,,14848
1000065,P003234,F,51-55,10,C,3,0,1,,,11165
1002569,P003866,F,26-35,8,B,4+,1,10,,,9017
1002028,P002969,M,36-45,9,B,3,1,7,8.0,,17635
1002696,P004068,M,46-50,15,B,3,1,12,,,11943
1001496,P003179,M,18-25,18,B,2,1,2,,3.0,8604
1000392,P001871,M,51-55,9,B,2,1,9,16.0,15.0,10270
1004515,P001634,M,18-25,20,A,1,0,5,,,6301
1004475,P004631,M,36-45,3,A,0,0,5,,15.0,8060
1003562,P004871,M,0-17,20,A,3,1,14,,,10011
1002279,P002399,M,0-17,7,B,3,0,19,,,12626
1003100,P001690,M,36-45,10,B,0,1,18,16.0,9.0,12269
1000201,P003739,F,55+,5,C,2,1,8,,15.0,5864
1004876,P004170,M,55+,3,C,2,0,3,8.0,,9509
1003105,P002865,M,0-17,20,C,0,0,14,8.0,15.0,11482
1004599,P002057,M,55+,4,A,0,0,11,2.0,,10429
1002455,P002955,M,0-17,17,B,2,1,8,16.0,,12062
1003646,P001581,M,18-25,2,B,0,1,12,,9.0,13065
1000805,P003218,M,55+,6,C,2,1,11,2.0,,13514
1002732,P002389,M,0-17,11,A,0,1,9,,9.0,7407
1002774,P001783,M,0-17,2,A,2,0,4,8.0,,7972
1001571,P004130,M,36-45,16,B,1,1,19,,,11170
1002691,P001180,M,0-17,2,C,2,0,7,14.0,4.0,13572
1003841,P001018,F,55+,10,C,2,1,17,2.0,9.0,12232
1001029,P002249,M,55+,5,B,3,1,16,,17.0,12050
1000503,P004544,M,51-55,10,C,2,1,19,,,12581
1004494,P004166,M,26-35,3,A,0,0,12,5.0,,15746
1000871,P003928,F,26-35,16,B,4+,0,7,16.0,17.0,14751
1004489,P004368,M,36-45,0,C,0,0,14,16.0,,11733
1000207,P002616,M,26-35,11,A,3,1,11,14.0,,10083
1001485,P003222,F,18-25,2,A,0,0,11,,,4192
1000864,P002245,M,51-55,15,C,1,1,7,16.0,,12509
1002791,P002638,M,51-55,2,B,4+,0,11,5.0,,11990
1000564,P001053,M,36-45,13,C,4+,1,3,,,13400
1004192,P003742,F,55+,16,A,3,1,15,,,14144
1001758,P003910,M,0-17,18,B,4+,1,3,,4.0,10283
1001679,P002426,M,26-35,6,B,2,0,9,,,7540
1003243,P004389,M,18-25,10,C,3,0,17,,,16797
1004637,P004938,M,55+,15,A,1,0,17,8.0,,10523
1001060,P003396,M,36-45,18,B,4+,0,12,,15.0,16221
